Filename,Timestamp,Total Rain,Rain Class,Period
SMM00894,20230214_153500,0-6,moderate,afternoon
SMM00894,20230214_154000,0-6,moderate,afternoon
SMM00894,20230214_193500,0-6,moderate,night
SMM00894,20230214_194000,0-2,light,night
SMM00894,20230214_194500,0-2,light,night
SMM00894,20230214_195000,0-4,moderate,night
SMM00894,20230214_195500,0-2,light,night
SMM00894,20230214_200000,0-2,light,night
SMM00894,20230214_212000,0-4,moderate,night
SMM00894,20230215_133500,0-2,light,afternoon
SMM00894,20230215_134000,3-2,heavy,afternoon
SMM00894,20230215_134500,2-6,heavy,afternoon
SMM00894,20230215_135000,1-8,heavy,afternoon
SMM00894,20230215_135500,2-6,heavy,afternoon
SMM00894,20230215_140000,2-2,heavy,afternoon
SMM00894,20230215_140500,1-8,heavy,afternoon
SMM00894,20230215_141000,1-2,heavy,afternoon
SMM00894,20230215_141500,0-2,light,afternoon
SMM00894,20230215_142000,0-2,light,afternoon
SMM00894,20230215_145500,0-2,light,afternoon
SMM00894,20230215_150000,0-2,light,afternoon
SMM00894,20230215_150500,0-2,light,afternoon
SMM00894,20230215_151000,0-2,light,afternoon
SMM00894,20230215_151500,0-4,moderate,afternoon
SMM00894,20230215_152000,0-2,light,afternoon
SMM00894,20230215_152500,0-2,light,afternoon
SMM00894,20230215_153000,0-2,light,afternoon
SMM00894,20230215_153500,0-2,light,afternoon
SMM00894,20230215_164000,0-4,moderate,afternoon
SMM00894,20230216_200000,0-2,light,night
SMM00894,20230216_200500,0-4,moderate,night
SMM00894,20230216_201000,0-2,light,night
SMM00894,20230216_201500,0-4,moderate,night
SMM00894,20230216_202000,0-6,moderate,night
SMM00894,20230216_202500,0-8,moderate,night
SMM00894,20230216_203000,0-4,moderate,night
SMM00894,20230216_203500,0-2,light,night
SMM00894,20230216_204000,0-2,light,night
SMM00894,20230216_204500,0-2,light,night
SMM00894,20230216_205000,0-2,light,night
SMM00894,20230216_205500,0-2,light,night
SMM00894,20230216_210000,0-4,moderate,night
SMM00894,20230216_210500,0-2,light,night
SMM00894,20230216_211000,0-2,light,night
SMM00894,20230216_223500,0-4,moderate,night
SMM00894,20230216_233000,0-2,light,night
SMM00894,20230216_233500,0-2,light,night
SMM00894,20230216_234000,0-2,light,night
SMM00894,20230216_234500,0-6,moderate,night
SMM00894,20230216_235000,0-2,light,night
SMM00894,20230216_235500,0-2,light,night
SMM00894,20230217_000000,0-4,moderate,night
SMM00894,20230217_000500,0-2,light,night
SMM00894,20230217_001000,0-4,moderate,night
SMM00894,20230217_001500,0-2,light,night
SMM00894,20230217_002000,0-4,moderate,night
SMM00894,20230217_002500,0-2,light,night
SMM00894,20230217_003000,0-4,moderate,night
SMM00894,20230217_004000,0-4,moderate,night
SMM00894,20230217_004500,0-2,light,night
SMM00894,20230217_012000,0-2,light,night
SMM00894,20230217_012500,0-2,light,night
SMM00894,20230217_022000,0-2,light,night
SMM00894,20230217_022500,0-2,light,night
SMM00894,20230217_023000,0-4,moderate,night
SMM00894,20230217_023500,0-6,moderate,night
SMM00894,20230217_024000,0-2,light,night
SMM00894,20230217_024500,0-4,moderate,night
SMM00894,20230217_025000,0-6,moderate,night
SMM00894,20230217_025500,0-8,moderate,night
SMM00894,20230217_030000,0-4,moderate,night
SMM00894,20230217_030500,0-4,moderate,night
SMM00894,20230217_031000,0-4,moderate,night
SMM00894,20230217_031500,0-2,light,night
SMM00894,20230217_032000,0-4,moderate,night
SMM00894,20230217_032500,0-4,moderate,night
SMM00894,20230217_034000,0-4,moderate,night
SMM00894,20230218_135500,0-6,moderate,afternoon
SMM00894,20230218_140000,1-4,heavy,afternoon
SMM00894,20230219_164000,0-2,light,afternoon
SMM00894,20230219_164500,0-4,moderate,afternoon
SMM00894,20230219_165000,2-4,heavy,afternoon
SMM00894,20230219_165500,1-8,heavy,afternoon
SMM00894,20230219_170000,1-6,heavy,afternoon
SMM00894,20230219_170500,3-0,heavy,afternoon
SMM00894,20230219_171000,6-0,violent,afternoon
SMM00894,20230219_171500,11-8,violent,afternoon
SMM00894,20230219_172000,8-0,violent,afternoon
SMM00894,20230219_172500,3-8,heavy,afternoon
SMM00894,20230219_173000,3-4,heavy,afternoon
SMM00894,20230219_173500,0-8,moderate,afternoon
SMM00894,20230219_174000,0-8,moderate,afternoon
SMM00894,20230219_174500,0-4,moderate,afternoon
SMM00894,20230219_175000,2-6,heavy,afternoon
SMM00894,20230219_175500,0-4,moderate,afternoon
SMM00894,20230219_180000,0-2,light,night
SMM00894,20230219_180500,0-6,moderate,night
SMM00894,20230219_181000,0-6,moderate,night
SMM00894,20230219_181500,0-2,light,night
SMM00894,20230219_183500,0-4,moderate,night
SMM00894,20230219_184000,0-4,moderate,night
SMM00894,20230219_184500,0-8,moderate,night
SMM00894,20230219_185000,1-4,heavy,night
SMM00894,20230219_185500,0-6,moderate,night
SMM00894,20230219_190000,0-4,moderate,night
SMM00894,20230219_190500,0-4,moderate,night
SMM00894,20230219_195500,0-4,moderate,night
SMM00894,20230219_200000,0-2,light,night
SMM00894,20230219_200500,0-2,light,night
SMM00894,20230219_201000,0-4,moderate,night
SMM00894,20230219_201500,0-2,light,night
SMM00894,20230219_202000,0-2,light,night
SMM00894,20230219_202500,0-4,moderate,night
SMM00894,20230219_203000,0-4,moderate,night
SMM00894,20230219_203500,0-4,moderate,night
SMM00894,20230219_204000,0-2,light,night
SMM00894,20230219_204500,0-2,light,night
SMM00894,20230219_205000,0-2,light,night
SMM00894,20230219_205500,0-2,light,night
SMM00894,20230219_210000,0-6,moderate,night
SMM00894,20230220_092000,0-4,moderate,morning
SMM00894,20230220_092500,0-4,moderate,morning
SMM00894,20230220_093000,0-2,light,morning
SMM00894,20230220_093500,0-6,moderate,morning
SMM00894,20230220_094000,1-0,heavy,morning
SMM00894,20230220_094500,0-8,moderate,morning
SMM00894,20230220_095000,1-0,heavy,morning
SMM00894,20230220_095500,2-2,heavy,morning
SMM00894,20230220_100000,2-8,heavy,morning
SMM00894,20230220_100500,2-6,heavy,morning
SMM00894,20230220_101000,1-4,heavy,morning
SMM00894,20230220_101500,0-8,moderate,morning
SMM00894,20230220_102000,0-6,moderate,morning
SMM00894,20230220_102500,0-6,moderate,morning
SMM00894,20230220_103000,0-4,moderate,morning
SMM00894,20230220_103500,0-4,moderate,morning
SMM00894,20230220_104000,0-6,moderate,morning
SMM00894,20230220_104500,0-4,moderate,morning
SMM00894,20230220_105000,0-4,moderate,morning
SMM00894,20230220_105500,0-4,moderate,morning
SMM00894,20230220_110000,0-2,light,morning
SMM00894,20230220_110500,0-2,light,morning
SMM00894,20230220_111000,0-2,light,morning
SMM00894,20230220_111500,0-2,light,morning
SMM00894,20230220_112500,0-4,moderate,morning
SMM00894,20230220_124000,0-4,moderate,afternoon
SMM00894,20230220_124500,0-2,light,afternoon
SMM00894,20230220_130500,0-2,light,afternoon
SMM00894,20230220_131000,0-2,light,afternoon
SMM00894,20230220_132000,0-4,moderate,afternoon
SMM00894,20230220_132500,0-4,moderate,afternoon
SMM00894,20230220_133000,0-8,moderate,afternoon
SMM00894,20230220_133500,0-6,moderate,afternoon
SMM00894,20230220_134000,0-8,moderate,afternoon
SMM00894,20230220_134500,0-6,moderate,afternoon
SMM00894,20230220_135000,1-0,heavy,afternoon
SMM00894,20230220_135500,1-0,heavy,afternoon
SMM00894,20230220_140000,0-6,moderate,afternoon
SMM00894,20230220_140500,0-4,moderate,afternoon
SMM00894,20230220_141000,0-4,moderate,afternoon
SMM00894,20230220_141500,0-2,light,afternoon
SMM00894,20230220_142000,0-2,light,afternoon
SMM00894,20230220_142500,0-6,moderate,afternoon
SMM00894,20230220_143000,1-6,heavy,afternoon
SMM00894,20230220_143500,2-0,heavy,afternoon
SMM00894,20230220_144000,2-6,heavy,afternoon
SMM00894,20230220_144500,2-2,heavy,afternoon
SMM00894,20230220_145000,1-8,heavy,afternoon
