Filename,Timestamp,Total Rain,Rain Class,Period
SMM11307,20240112_133000,1-2,heavy,afternoon
SMM11307,20240112_133500,2-4,heavy,afternoon
SMM11307,20240112_134000,1-0,heavy,afternoon
SMM11307,20240112_225500,0-4,moderate,night
SMM11307,20240112_230000,1-8,heavy,night
SMM11307,20240113_002500,2-8,heavy,night
SMM11307,20240113_003000,0-4,moderate,night
SMM11307,20240113_003500,0-2,light,night
SMM11307,20240113_024500,0-4,moderate,night
SMM11307,20240113_025000,0-2,light,night
SMM11307,20240113_030500,0-6,moderate,night
SMM11307,20240113_031000,4-4,violent,night
SMM11307,20240113_031500,5-6,violent,night
SMM11307,20240113_032000,1-4,heavy,night
SMM11307,20240113_034000,0-2,light,night
SMM11307,20240113_034500,0-2,light,night
SMM11307,20240113_042500,0-2,light,night
SMM11307,20240113_043000,0-2,light,night
SMM11307,20240113_043500,0-2,light,night
SMM11307,20240113_045500,0-6,moderate,night
SMM11307,20240113_050000,1-4,heavy,night
SMM11307,20240113_050500,0-6,moderate,night
SMM11307,20240113_051000,1-2,heavy,night
SMM11307,20240113_051500,0-8,moderate,night
SMM11307,20240113_052000,1-6,heavy,night
SMM11307,20240113_052500,1-6,heavy,night
SMM11307,20240113_053000,0-4,moderate,night
SMM11307,20240113_055000,0-2,light,night
SMM11307,20240113_055500,0-4,moderate,night
SMM11307,20240113_060000,0-6,moderate,morning
SMM11307,20240113_060500,0-2,light,morning
SMM11307,20240113_061000,0-4,moderate,morning
SMM11307,20240113_061500,0-4,moderate,morning
SMM11307,20240113_062000,0-6,moderate,morning
SMM11307,20240113_062500,0-6,moderate,morning
SMM11307,20240113_063000,1-0,heavy,morning
SMM11307,20240113_063500,0-6,moderate,morning
SMM11307,20240113_064000,0-4,moderate,morning
SMM11307,20240113_064500,0-8,moderate,morning
SMM11307,20240113_065000,0-2,light,morning
SMM11307,20240113_065500,2-0,heavy,morning
SMM11307,20240113_070000,2-2,heavy,morning
SMM11307,20240113_070500,2-4,heavy,morning
SMM11307,20240113_071000,3-8,heavy,morning
SMM11307,20240113_071500,4-0,heavy,morning
SMM11307,20240113_072000,2-6,heavy,morning
SMM11307,20240113_072500,3-2,heavy,morning
SMM11307,20240113_073000,3-8,heavy,morning
SMM11307,20240113_073500,2-6,heavy,morning
SMM11307,20240113_074000,3-4,heavy,morning
SMM11307,20240113_074500,1-8,heavy,morning
SMM11307,20240113_075000,0-8,moderate,morning
SMM11307,20240113_075500,0-4,moderate,morning
SMM11307,20240113_080000,0-8,moderate,morning
SMM11307,20240113_080500,0-6,moderate,morning
SMM11307,20240113_081000,0-8,moderate,morning
SMM11307,20240113_081500,0-6,moderate,morning
SMM11307,20240113_082000,0-6,moderate,morning
SMM11307,20240113_082500,1-2,heavy,morning
SMM11307,20240113_083000,1-6,heavy,morning
SMM11307,20240113_083500,0-8,moderate,morning
SMM11307,20240113_084000,0-4,moderate,morning
SMM11307,20240113_084500,0-4,moderate,morning
SMM11307,20240113_085000,0-2,light,morning
SMM11307,20240113_085500,0-2,light,morning
SMM11307,20240113_092000,0-2,light,morning
SMM11307,20240113_092500,0-6,moderate,morning
SMM11307,20240113_093500,1-2,heavy,morning
SMM11307,20240113_094000,1-6,heavy,morning
SMM11307,20240113_094500,0-6,moderate,morning
SMM11307,20240113_194500,0-2,light,night
SMM11307,20240113_195000,0-2,light,night
SMM11307,20240113_202000,0-2,light,night
SMM11307,20240113_202500,0-2,light,night
SMM11307,20240113_203000,0-2,light,night
SMM11307,20240115_193000,0-6,moderate,night
SMM11307,20240116_144500,0-4,moderate,afternoon
SMM11307,20240116_145000,0-2,light,afternoon
SMM11307,20240117_113000,0-8,moderate,morning
SMM11307,20240117_113500,0-6,moderate,morning
SMM11307,20240117_123000,0-4,moderate,afternoon
SMM11307,20240117_143000,0-8,moderate,afternoon
SMM11307,20240117_143500,4-8,violent,afternoon
SMM11307,20240117_144000,1-4,heavy,afternoon
SMM11307,20240117_162000,0-6,moderate,afternoon
SMM11307,20240117_162500,1-6,heavy,afternoon
SMM11307,20240118_235000,1-4,heavy,night
SMM11307,20240118_235500,0-2,light,night
SMM11307,20240119_134000,3-0,heavy,afternoon
SMM11307,20240119_134500,0-8,moderate,afternoon
SMM11307,20240120_162500,1-8,heavy,afternoon
SMM11307,20240120_163000,0-2,light,afternoon
SMM11307,20240122_015000,3-8,heavy,night
SMM11307,20240122_015500,1-2,heavy,night
SMM11307,20240122_020000,0-2,light,night
SMM11307,20240122_020500,0-2,light,night
SMM11307,20240122_021000,0-2,light,night
SMM11307,20240122_021500,1-4,heavy,night
SMM11307,20240122_022500,0-2,light,night
SMM11307,20240122_023000,2-4,heavy,night
SMM11307,20240122_023500,5-2,violent,night
SMM11307,20240122_024000,2-8,heavy,night
SMM11307,20240122_024500,2-0,heavy,night
SMM11307,20240122_025000,1-2,heavy,night
SMM11307,20240122_025500,0-2,light,night
SMM11307,20240122_030000,0-2,light,night
SMM11307,20240122_030500,0-2,light,night
SMM11307,20240122_031000,0-2,light,night
SMM11307,20240122_031500,0-4,moderate,night
SMM11307,20240518_161000,0-4,moderate,afternoon
SMM11307,20240518_161500,1-8,heavy,afternoon
SMM11307,20240518_162000,0-4,moderate,afternoon
SMM11307,20240518_162500,1-0,heavy,afternoon
