Filename,Timestamp,Total Rain,Rain Class,Period
SMM11284,20240216_125500,0-8,moderate,afternoon
SMM11284,20240216_133500,0-2,light,afternoon
SMM11284,20240216_134000,0-8,moderate,afternoon
SMM11284,20240216_134500,1-4,heavy,afternoon
SMM11284,20240216_170000,0-2,light,afternoon
SMM11284,20240216_170500,0-2,light,afternoon
SMM11284,20240217_154000,0-4,moderate,afternoon
SMM11284,20240331_213500,6-2,violent,night
SMM11284,20240331_214000,9-4,violent,night
SMM11284,20240331_214500,12-8,violent,night
SMM11284,20240331_215000,9-4,violent,night
SMM11284,20240331_215500,6-6,violent,night
SMM11284,20240331_220000,5-2,violent,night
SMM11284,20240331_220500,3-4,heavy,night
SMM11284,20240331_221000,0-6,moderate,night
SMM11284,20240331_221500,0-4,moderate,night
SMM11284,20240331_222000,0-4,moderate,night
SMM11284,20240331_222500,1-6,heavy,night
SMM11284,20240331_223000,3-4,heavy,night
SMM11284,20240331_223500,0-8,moderate,night
SMM11284,20240331_224000,0-2,light,night
SMM11284,20240331_224500,0-2,light,night
SMM11284,20240331_225000,0-2,light,night
SMM11284,20240331_231500,0-6,moderate,night
SMM11284,20240331_232000,1-4,heavy,night
SMM11284,20240331_232500,1-6,heavy,night
SMM11284,20240331_233000,1-0,heavy,night
SMM11284,20240331_233500,0-6,moderate,night
SMM11284,20240401_113500,0-6,moderate,morning
SMM11284,20240401_114000,0-2,light,morning
SMM11284,20240401_114500,0-2,light,morning
SMM11284,20240401_130500,0-8,moderate,afternoon
SMM11284,20240401_131000,4-8,violent,afternoon
SMM11284,20240401_131500,5-2,violent,afternoon
SMM11284,20240401_132000,2-0,heavy,afternoon
SMM11284,20240401_132500,0-6,moderate,afternoon
SMM11284,20240401_133000,1-0,heavy,afternoon
SMM11284,20240401_133500,1-2,heavy,afternoon
SMM11284,20240401_134000,1-2,heavy,afternoon
SMM11284,20240401_134500,0-8,moderate,afternoon
SMM11284,20240401_135000,0-8,moderate,afternoon
SMM11284,20240401_135500,0-6,moderate,afternoon
SMM11284,20240401_140000,0-4,moderate,afternoon
SMM11284,20240401_140500,0-4,moderate,afternoon
SMM11284,20240401_141000,0-4,moderate,afternoon
SMM11284,20240401_141500,0-4,moderate,afternoon
SMM11284,20240401_142000,0-4,moderate,afternoon
SMM11284,20240401_142500,0-4,moderate,afternoon
SMM11284,20240401_143000,0-4,moderate,afternoon
SMM11284,20240401_143500,0-6,moderate,afternoon
SMM11284,20240401_144000,0-4,moderate,afternoon
SMM11284,20240401_144500,0-6,moderate,afternoon
SMM11284,20240401_145000,0-4,moderate,afternoon
SMM11284,20240401_145500,0-2,light,afternoon
SMM11284,20240401_150000,0-4,moderate,afternoon
SMM11284,20240401_150500,0-4,moderate,afternoon
SMM11284,20240401_151000,0-2,light,afternoon
SMM11284,20240401_151500,0-4,moderate,afternoon
SMM11284,20240401_152000,0-2,light,afternoon
SMM11284,20240401_152500,0-4,moderate,afternoon
SMM11284,20240402_162500,0-2,light,afternoon
SMM11284,20240402_163000,0-4,moderate,afternoon
SMM11284,20240402_174000,2-2,heavy,afternoon
SMM11284,20240402_174500,4-2,violent,afternoon
SMM11284,20240402_175000,2-0,heavy,afternoon
SMM11284,20240402_175500,0-2,light,afternoon
SMM11284,20240402_183000,0-4,moderate,night
SMM11284,20240402_183500,0-2,light,night
SMM11284,20240402_191500,1-4,heavy,night
SMM11284,20240402_192000,1-8,heavy,night
SMM11284,20240402_192500,6-0,violent,night
SMM11284,20240402_193000,1-4,heavy,night
SMM11284,20240402_193500,0-2,light,night
SMM11284,20240402_194000,0-2,light,night
SMM11284,20240402_194500,1-2,heavy,night
SMM11284,20240402_195000,2-6,heavy,night
SMM11284,20240402_195500,1-8,heavy,night
SMM11284,20240402_200000,0-2,light,night
SMM11284,20240402_203500,0-2,light,night
SMM11284,20240402_204000,0-2,light,night
SMM11284,20240402_204500,0-2,light,night
SMM11284,20240403_165500,1-2,heavy,afternoon
SMM11284,20240403_170000,7-8,violent,afternoon
SMM11284,20240403_170500,8-8,violent,afternoon
SMM11284,20240403_171000,6-2,violent,afternoon
SMM11284,20240403_171500,7-0,violent,afternoon
SMM11284,20240403_172000,7-2,violent,afternoon
SMM11284,20240403_172500,7-8,violent,afternoon
SMM11284,20240403_173000,8-6,violent,afternoon
SMM11284,20240403_173500,8-2,violent,afternoon
SMM11284,20240403_174000,9-2,violent,afternoon
SMM11284,20240403_174500,3-6,heavy,afternoon
SMM11284,20240403_175000,0-8,moderate,afternoon
SMM11284,20240403_175500,0-2,light,afternoon
SMM11284,20240403_180000,0-2,light,night
SMM11284,20240403_180500,0-2,light,night
SMM11284,20240403_181000,0-2,light,night
SMM11284,20240403_181500,0-4,moderate,night
SMM11284,20240403_182000,0-4,moderate,night
SMM11284,20240403_182500,0-2,light,night
SMM11284,20240403_183000,0-2,light,night
SMM11284,20240403_183500,0-2,light,night
SMM11284,20240403_184000,0-2,light,night
SMM11284,20240403_184500,0-2,light,night
SMM11284,20240406_122000,0-4,moderate,afternoon
SMM11284,20240406_122500,0-8,moderate,afternoon
SMM11284,20240406_123000,0-2,light,afternoon
SMM11284,20240406_154000,0-2,light,afternoon
SMM11284,20240406_154500,0-2,light,afternoon
SMM11284,20240406_155000,0-2,light,afternoon
SMM11284,20240410_161000,0-6,moderate,afternoon
SMM11284,20240410_161500,0-4,moderate,afternoon
SMM11284,20240410_162000,2-6,heavy,afternoon
SMM11284,20240410_162500,4-4,violent,afternoon
SMM11284,20240410_163000,4-0,heavy,afternoon
SMM11284,20240411_174500,0-4,moderate,afternoon
SMM11284,20240411_175000,0-2,light,afternoon
SMM11284,20240411_175500,0-4,moderate,afternoon
SMM11284,20240411_180000,0-4,moderate,night
SMM11284,20240411_180500,0-6,moderate,night
SMM11284,20240411_181000,0-8,moderate,night
SMM11284,20240411_181500,1-4,heavy,night
SMM11284,20240411_182000,2-2,heavy,night
SMM11284,20240411_182500,1-8,heavy,night
SMM11284,20240411_183000,0-6,moderate,night
SMM11284,20240411_183500,0-6,moderate,night
SMM11284,20240411_184000,0-4,moderate,night
SMM11284,20240411_185000,0-2,light,night
SMM11284,20240411_185500,0-2,light,night
SMM11284,20240411_190000,0-4,moderate,night
SMM11284,20240411_190500,0-4,moderate,night
SMM11284,20240411_191000,0-2,light,night
SMM11284,20240411_191500,0-2,light,night
SMM11284,20240411_192500,0-2,light,night
SMM11284,20240411_193000,0-2,light,night
SMM11284,20240411_193500,0-2,light,night
SMM11284,20240412_133500,0-8,moderate,afternoon
SMM11284,20240412_134000,0-8,moderate,afternoon
