Filename,Timestamp,Total Rain,Rain Class,Period
SMM11209,20231214_062500,0-4,moderate,morning
SMM11209,20231214_063000,0-6,moderate,morning
SMM11209,20231214_063500,1-2,heavy,morning
SMM11209,20231214_064000,1-0,heavy,morning
SMM11209,20231214_064500,0-8,moderate,morning
SMM11209,20231214_065000,1-0,heavy,morning
SMM11209,20231214_065500,2-0,heavy,morning
SMM11209,20231214_070000,3-0,heavy,morning
SMM11209,20231214_070500,1-8,heavy,morning
SMM11209,20231214_071000,1-0,heavy,morning
SMM11209,20231214_071500,1-0,heavy,morning
SMM11209,20231214_072000,0-6,moderate,morning
SMM11209,20231214_072500,0-4,moderate,morning
SMM11209,20231214_073000,0-4,moderate,morning
SMM11209,20231214_073500,0-8,moderate,morning
SMM11209,20231214_074000,2-8,heavy,morning
SMM11209,20231214_074500,1-8,heavy,morning
SMM11209,20231214_075000,1-6,heavy,morning
SMM11209,20231214_075500,0-8,moderate,morning
SMM11209,20231214_080000,0-4,moderate,morning
SMM11209,20231214_080500,0-2,light,morning
SMM11209,20231214_081500,0-2,light,morning
SMM11209,20231214_082000,0-4,moderate,morning
SMM11209,20231214_082500,0-4,moderate,morning
SMM11209,20231214_083000,0-6,moderate,morning
SMM11209,20231214_083500,0-4,moderate,morning
SMM11209,20231214_084000,0-4,moderate,morning
SMM11209,20231214_185500,0-2,light,night
SMM11209,20231214_190000,0-4,moderate,night
SMM11209,20231214_190500,0-2,light,night
SMM11209,20231214_191000,0-2,light,night
SMM11209,20231214_200000,0-2,light,night
SMM11209,20231214_200500,0-2,light,night
SMM11209,20231214_201000,0-4,moderate,night
SMM11209,20231214_201500,0-4,moderate,night
SMM11209,20231214_202000,0-4,moderate,night
SMM11209,20231214_202500,0-2,light,night
SMM11209,20231215_164000,3-2,heavy,afternoon
SMM11209,20231215_164500,11-6,violent,afternoon
SMM11209,20231215_165000,11-8,violent,afternoon
SMM11209,20231215_165500,10-2,violent,afternoon
SMM11209,20231215_170000,4-0,heavy,afternoon
SMM11209,20231215_170500,2-0,heavy,afternoon
SMM11209,20231215_171000,1-0,heavy,afternoon
SMM11209,20231215_171500,0-4,moderate,afternoon
SMM11209,20231215_172000,0-2,light,afternoon
SMM11209,20231215_180000,0-4,moderate,night
SMM11209,20231215_180500,0-2,light,night
SMM11209,20231215_181000,0-2,light,night
SMM11209,20231216_174000,1-0,heavy,afternoon
SMM11209,20231216_174500,1-4,heavy,afternoon
SMM11209,20231216_175000,1-6,heavy,afternoon
SMM11209,20231216_175500,1-4,heavy,afternoon
SMM11209,20231216_180000,1-6,heavy,night
SMM11209,20231216_180500,0-8,moderate,night
SMM11209,20231216_181000,0-4,moderate,night
SMM11209,20231216_182000,0-2,light,night
SMM11209,20231216_182500,0-8,moderate,night
SMM11209,20231216_183000,0-8,moderate,night
SMM11209,20231216_183500,0-6,moderate,night
SMM11209,20231216_184000,0-4,moderate,night
SMM11209,20231216_184500,0-2,light,night
SMM11209,20231216_185000,0-2,light,night
SMM11209,20231216_185500,0-2,light,night
SMM11209,20231216_190500,0-2,light,night
SMM11209,20231216_191000,0-2,light,night
SMM11209,20231216_191500,0-4,moderate,night
SMM11209,20231216_192000,0-2,light,night
SMM11209,20231216_192500,0-2,light,night
SMM11209,20231216_193000,0-2,light,night
SMM11209,20231216_193500,0-2,light,night
SMM11209,20231216_194000,0-2,light,night
SMM11209,20231216_194500,0-4,moderate,night
SMM11209,20231221_135500,2-8,heavy,afternoon
SMM11209,20231221_140000,3-2,heavy,afternoon
SMM11209,20231221_140500,1-0,heavy,afternoon
SMM11209,20231221_141000,0-2,light,afternoon
SMM11209,20231221_141500,0-6,moderate,afternoon
SMM11209,20231221_143500,0-2,light,afternoon
SMM11209,20231221_144000,0-2,light,afternoon
SMM11209,20231221_144500,0-2,light,afternoon
SMM11209,20231221_145000,0-2,light,afternoon
SMM11209,20231221_145500,0-4,moderate,afternoon
